,control classical (n = 25) vs heart attack classical (n = 25),control classical (n = 25) vs Fabry classical (n = 5),control classical (n = 25) vs control late-onset (n = 60),control classical (n = 25) vs heart attack late-onset (n = 60),control classical (n = 25) vs Fabry late-onset (n = 12),heart attack classical (n = 25) vs Fabry classical (n = 5),heart attack classical (n = 25) vs control late-onset (n = 60),heart attack classical (n = 25) vs heart attack late-onset (n = 60),heart attack classical (n = 25) vs Fabry late-onset (n = 12),Fabry classical (n = 5) vs control late-onset (n = 60),Fabry classical (n = 5) vs heart attack late-onset (n = 60),Fabry classical (n = 5) vs Fabry late-onset (n = 12),control late-onset (n = 60) vs heart attack late-onset (n = 60),control late-onset (n = 60) vs Fabry late-onset (n = 12),heart attack late-onset (n = 60) vs Fabry late-onset (n = 12)
p(hor.),0.15105615728737953,0.9570404053162673,0.0783762239246909,0.24125726106159207,0.5701877750903488,0.5159221366117918,0.7908295492877185,0.724810319232521,0.5701877750903488,0.39338596358691547,0.6409760035487164,0.7989657401422106,0.43573066003173655,0.4822972445070869,0.7798350324519573
p(vert.),0.7123855280840246,0.9141930866068797,0.1466265210505767,0.6262120911743978,0.35514169937768014,0.8715703198461819,0.2611718165542307,0.36716626649959416,0.13988620216087488,0.5097640549121247,0.8206215386939872,0.5058177117000646,0.040404119588223694,0.0313055195537645,0.5506122650731993
p(area),0.27719688079412896,0.6164459173424548,0.5562622501303525,0.39600803518288863,0.516337669549187,0.829298415505312,0.06471981617839788,0.9615365594043961,0.8203172793877843,0.34939087858978946,0.990178431416615,1.0,0.041681360350209015,0.17141879801544002,0.9638432399942203
p(num),0.1168342774027321,0.5258679222825104,0.708998812264485,0.34130971566565116,0.9465051125966899,0.6868505063159929,0.129221924987741,0.2723449965734902,0.3025945470965634,0.6022261184835758,0.8976198090003986,0.6195909155322052,0.4511125893225133,0.975115204487875,0.5616037812148806
p(pm/lv),0.8008578418954853,0.9570404053162673,0.579182488254177,0.5530749684427578,0.26300031760644704,0.829298415505312,0.29981878905305426,0.9423341789847643,0.4854573394424109,0.8392498784487151,0.7290636386352939,0.5743374272786037,0.18334372897726736,0.1811474674290221,0.4822972445070869
p(ma),0.05233940490633003,0.8455388115059139,0.45184265771789767,0.2098988620733151,0.07431856087645534,0.2751603441258614,0.0061590250655612746,0.3620594566337598,0.6036635918768869,0.8825667102781651,0.5254112404429697,0.3283775048480931,0.018051852065560668,0.012392833217337825,0.17869108825907198
p(mwt),0.03971489002268778,0.3004505073470591,0.7466174724630932,0.35700668245901157,0.04258395584112508,0.787475615061822,0.01654134848361579,0.19788930199971155,0.4080504705760669,0.2406032624171175,0.6069469707095303,0.5058177117000646,0.1939308522824107,0.030137585883448382,0.07336895206598712
d(hor.),0.3922853091073633,0.0004813874688651381,0.3494189409544301,0.1507102738827606,0.12256371929905785,0.4117454225485015,0.005330374787962026,0.20510587494586915,0.262967746146975,0.3271838255838785,0.14209754241798236,0.11478757644617218,0.16765136233032732,0.2109951453770345,0.030785941116216513
d(vert.),0.09483003880626345,0.015507744822117694,0.2086464355556943,0.22023967253628893,0.3067473190992848,0.07665406126467753,0.11470401012892639,0.2878739582305273,0.3867423006766452,0.18933692407462083,0.2283538141266836,0.31309741964679116,0.35998743668006833,0.45884953326926786,0.013780451242391611
d(area),0.11721516849658072,0.1473865828015269,0.1861521643690706,0.18152849123755468,0.20757817178664278,0.03478100632125349,0.3476926198223206,0.08830335778846694,0.11136513930013553,0.38493447861123453,0.05960374131035915,0.08019464827786578,0.3727188383334264,0.41788870039920817,0.011316071723267294
d(num),0.28948515141983017,0.18547478496189962,0.011557675584249557,0.13234801434933022,0.08109411731177285,0.12060453783110554,0.30054043992754653,0.16437775383291428,0.2003767191132599,0.19921370097136512,0.05301251512639901,0.09875106606839935,0.13685045828561893,0.0785118535554142,0.04593913790225032
d(pm/lv),0.06166722556194881,0.0037243458088288355,0.09459485517853305,0.15845008959478848,0.46959756399396896,0.057296517572398266,0.1414593028147447,0.09678621663398528,0.393922397220419,0.1032080017638609,0.16308675475585946,0.4868420150203168,0.21240443899956035,0.48155440385604115,0.26304762020185296
d(ma),0.4637694522357776,0.268022027098568,0.11446761557187823,0.1860183030028752,0.7183334033919616,0.04397860431651111,0.4996276700998137,0.23486072925295723,0.3230088815176704,0.26301783850591726,0.10839277156794809,0.257895520273607,0.27191350076756793,0.7645475113790546,0.5196678392778712
d(mwt),0.48267469915699646,0.6007100314408556,0.04640723761687945,0.21665345193178234,0.8617546429276044,0.21155316005598107,0.3619957421222749,0.22987264500271326,0.5580952452410899,0.436194515818538,0.3422362080403715,0.33200014274948153,0.13441348347262339,0.7648664538397084,0.6983160830562097
MD(hor.),1.8121664962777224,0.002499697121645994,1.7891949157633533,0.8320674271282371,0.6420888216642027,1.8096667991560764,0.022971580514369094,0.9800990691494853,1.1700776746135197,1.7866952186417073,0.8295677300065911,0.6395891245425567,0.9571274886351162,1.1471060940991507,0.18997860546403444
MD(vert.),0.5713147904235498,0.09265840216090737,1.3332404491736867,1.6583771198023314,1.7799006867251101,0.47865638826264245,0.7619256587501368,2.229691910225881,2.35121547714866,1.2405820470127793,1.7510355219632388,1.8725590888860175,2.991617568976018,3.113141135898797,0.12152356692277877
MD(area),11.400501936584533,14.278126397748906,18.601789841592506,20.114626059258683,21.442404673976114,2.8776244611643733,30.00229177817704,8.71412412267415,10.041902737391581,32.87991623934141,5.836499661509777,7.164278276227208,38.71641590085119,40.04419451556862,1.327778614717431
MD(num),0.52,0.31999999999999984,0.020000000000000018,0.23666666666666636,0.15333333333333332,0.20000000000000018,0.5,0.28333333333333366,0.3666666666666667,0.2999999999999998,0.08333333333333348,0.16666666666666652,0.21666666666666634,0.1333333333333333,0.08333333333333304
MD(pm/lv),0.002401634411289183,0.00013379373179345233,0.003935164542255121,0.0069297563724271816,0.021917702507750964,0.0022678406794957306,0.006336798953544304,0.004528121961137999,0.01951606809646178,0.004068958274048573,0.006795962640633729,0.02178390877595751,0.010864920914682302,0.025852867050006084,0.014987946135323782
MD(ma),118.74961424045694,100.621426240304,27.165504445199986,47.097712296147506,239.7770758132359,18.12818800015293,145.91511868565692,71.65190194430943,121.02746157277898,127.78693068550399,53.5237139441565,139.1556495729319,74.26321674134749,266.9425802584359,192.6793635170884
MD(mwt),0.34607254028320344,0.5598201751708984,0.035461179415384514,0.15693010091781634,1.0764589309692383,0.213747634887695,0.31061136086781893,0.1891424393653871,0.7303863906860348,0.5243589957555139,0.4028900742530821,0.5166387557983398,0.12146892150243183,1.0409977515538538,0.9195288300514219
