,control classical (n = 25) vs Fabry classical (n = 5),control classical (n = 25) vs control late-onset (n = 60),control classical (n = 25) vs Fabry late-onset (n = 12),Fabry classical (n = 5) vs control late-onset (n = 60),Fabry classical (n = 5) vs Fabry late-onset (n = 12),control late-onset (n = 60) vs Fabry late-onset (n = 12)
p(hor.),0.9570404053162673,0.0783762239246909,0.5701877750903488,0.39338596358691547,0.7989657401422106,0.4822972445070869
p(vert.),0.9141930866068797,0.1466265210505767,0.35514169937768014,0.5097640549121247,0.5058177117000646,0.0313055195537645
p(area),0.6164459173424548,0.5562622501303525,0.516337669549187,0.34939087858978946,1.0,0.17141879801544002
p(num),0.5258679222825104,0.708998812264485,0.9465051125966899,0.6022261184835758,0.6195909155322052,0.975115204487875
p(pm/lv),0.9570404053162673,0.579182488254177,0.26300031760644704,0.8392498784487151,0.5743374272786037,0.1811474674290221
p(ma),0.8455388115059139,0.45184265771789767,0.07431856087645534,0.8825667102781651,0.3283775048480931,0.012392833217337825
p(mwt),0.3004505073470591,0.7466174724630932,0.04258395584112508,0.2406032624171175,0.5058177117000646,0.030137585883448382
d(hor.),0.0004813874688651381,0.3494189409544301,0.12256371929905785,0.3271838255838785,0.11478757644617218,0.2109951453770345
d(vert.),0.015507744822117694,0.2086464355556943,0.3067473190992848,0.18933692407462083,0.31309741964679116,0.45884953326926786
d(area),0.1473865828015269,0.1861521643690706,0.20757817178664278,0.38493447861123453,0.08019464827786578,0.41788870039920817
d(num),0.18547478496189962,0.011557675584249557,0.08109411731177285,0.19921370097136512,0.09875106606839935,0.0785118535554142
d(pm/lv),0.0037243458088288355,0.09459485517853305,0.46959756399396896,0.1032080017638609,0.4868420150203168,0.48155440385604115
d(ma),0.268022027098568,0.11446761557187823,0.7183334033919616,0.26301783850591726,0.257895520273607,0.7645475113790546
d(mwt),0.6007100314408556,0.04640723761687945,0.8617546429276044,0.436194515818538,0.33200014274948153,0.7648664538397084
MD(hor.),0.002499697121645994,1.7891949157633533,0.6420888216642027,1.7866952186417073,0.6395891245425567,1.1471060940991507
MD(vert.),0.09265840216090737,1.3332404491736867,1.7799006867251101,1.2405820470127793,1.8725590888860175,3.113141135898797
MD(area),14.278126397748906,18.601789841592506,21.442404673976114,32.87991623934141,7.164278276227208,40.04419451556862
MD(num),0.31999999999999984,0.020000000000000018,0.15333333333333332,0.2999999999999998,0.16666666666666652,0.1333333333333333
MD(pm/lv),0.00013379373179345233,0.003935164542255121,0.021917702507750964,0.004068958274048573,0.02178390877595751,0.025852867050006084
MD(ma),100.621426240304,27.165504445199986,239.7770758132359,127.78693068550399,139.1556495729319,266.9425802584359
MD(mwt),0.5598201751708984,0.035461179415384514,1.0764589309692383,0.5243589957555139,0.5166387557983398,1.0409977515538538
